Configuration,Baseline,DiaConfig,Reason,Explanation
commitlog_sync_period_in_ms,Yes,Yes,,
truncate_request_timeout_in_ms,Yes,Yes,,
hinted_handoff_throttle_in_kb,Yes,No,,
commitlog_compression,Yes,Yes,,
max_hint_window_in_ms,Yes,Yes,,
partitioner,Yes,Yes,,
enable_sasi_indexes,Yes,Yes,,
row_cache_save_period,Yes,Yes,,
key_cache_size_in_mb,Yes,No,,
enable_materialized_views,Yes,Yes,,
allocate_tokens_for_keyspace,Yes,Yes,,
cas_contention_timeout_in_ms,Yes,Yes,,
inter_dc_tcp_nodelay,Yes,No,,
enable_drop_compact_storage,Yes,Yes,,
allocate_tokens_for_local_replication_factor,Yes,Yes,,
concurrent_writes,Yes,Yes,,
file_cache_size_in_mb,Yes,Yes,,
counter_write_request_timeout_in_ms,Yes,Yes,,
hinted_handoff_enabled,Yes,Yes,,
concurrent_counter_writes,Yes,Yes,,
commitlog_segment_size_in_mb,Yes,Yes,,
read_request_timeout_in_ms,Yes,No,,
initial_token,Yes,Yes,,
dynamic_snitch_update_interval_in_ms,Yes,No,,
cache_load_timeout_seconds,Yes,No,,
concurrent_materialized_view_writes,Yes,Yes,,
periodic_commitlog_sync_lag_block_in_ms,Yes,No,,
native_transport_flush_in_batches_legacy,Yes,No,,
commitlog_sync,Yes,No,,
server_encryption_options,Yes,No,,
native_transport_max_threads,Yes,No,,
ideal_consistency_level,Yes,No,,
hints_flush_period_in_ms,Yes,No,,
range_request_timeout_in_ms,Yes,Yes,https://asrblogger.com/apache-cassandra-performance-tuning/,"Range scans involve coordinator-to-replica communication across potentially large token ranges. This timeout determines when slow range queries are aborted. Too aggressive a value causes spurious failures under load, while too lenient allows slow scans to hold resources and degrade cluster-wide throughput."
table_count_warn_threshold,Yes,Yes,,
networking_cache_size_in_mb,Yes,Yes,,
transparent_data_encryption_options,Yes,Yes,,
write_request_timeout_in_ms,Yes,No,,
keyspace_count_warn_threshold,Yes,Yes,,
num_tokens,Yes,Yes,,
request_timeout_in_ms,Yes,Yes,,
client_encryption_options,Yes,Yes,,
key_cache_save_period,Yes,Yes,,
compaction_large_partition_warning_threshold_mb,Yes,No,,
streaming_connections_per_host,Yes,No,https://docs.datastax.com/en/luna-cassandra/guides/upgrade/cassandra-4-configuration-changes.html#zero-copy-streams,"In Cassandra 4.0's zero-copy streaming, this parameter enables parallel transfer channels between nodes. When the receiver is CPU-bound, adding connections directly reduces bootstrap and rebuild wall-clock time."
cdc_free_space_check_interval_ms,Yes,No,https://docs.datastax.com/en/dse/6.9/managing/configure/configure-cassandra-yaml.html#cdcSpaceSection,"Once CDC log space is exhausted, all writes to CDC-enabled tables fail with WriteTimeoutException. This interval determines how quickly the node detects reclaimed space and resumes accepting writes, so too infrequent checks prolong write outages unnecessarily."
cdc_total_space_in_mb,Yes,No,https://docs.datastax.com/en/dse/6.9/managing/configure/configure-cassandra-yaml.html#cdcSpaceSection,"When CDC logs exceed this limit, Cassandra rejects all writes to CDC-enabled tables with WriteTimeoutException. An undersized value on high-throughput clusters causes frequent write rejections whenever the CDC compactor falls behind."
concurrent_materialized_view_builders,No,No,,
max_hints_file_size_in_mb,No,No,,
