system,config_name,baseline_label,predicted_label,error_type,category
batik,BACKGROUND_COLOR,Yes,No,FN,Runtime-dependent performance effects
batik,MAX_WIDTH,Yes,No,FN,Insufficient code-context navigation
batik,QUALITY,No,Yes,FP,Misleading performance-related terminology
batik,SNAPSHOT_TIME,No,Yes,FP,Ungrounded impact reasoning
batik,USER_STYLESHEET_URI,No,Yes,FP,Ungrounded impact reasoning
cassandra,audit_logging_options,No,Yes,FP,Ungrounded impact reasoning
cassandra,authenticator,No,Yes,FP,Ungrounded impact reasoning
cassandra,cdc_total_space_in_mb,Yes,No,FN,Insufficient code-context navigation
cassandra,cluster_name,No,Yes,FP,Ungrounded impact reasoning
cassandra,commit_failure_policy,No,Yes,FP,Ungrounded impact reasoning
cassandra,compaction_large_partition_warning_threshold_mb,Yes,No,FN,Runtime-dependent performance effects
cassandra,concurrent_materialized_view_builders,No,Yes,FP,Misleading performance-related terminology
cassandra,counter_cache_keys_to_save,No,Yes,FP,Misleading performance-related terminology
cassandra,disk_failure_policy,No,Yes,FP,Ungrounded impact reasoning
cassandra,disk_optimization_strategy,No,Yes,FP,Misleading performance-related terminology
cassandra,dynamic_snitch_badness_threshold,Yes,No,FN,Runtime-dependent performance effects
cassandra,dynamic_snitch_reset_interval_in_ms,No,Yes,FP,Misleading performance-related terminology
cassandra,enable_drop_compact_storage,Yes,No,FN,Insufficient code-context navigation
cassandra,file_cache_enabled,No,Yes,FP,Misleading performance-related terminology
cassandra,full_query_logging_options,No,Yes,FP,Ungrounded impact reasoning
cassandra,hinted_handoff_enabled,Yes,No,FN,Insufficient code-context navigation
cassandra,hints_compression,No,Yes,FP,Misleading performance-related terminology
cassandra,hints_directory,No,Yes,FP,Ungrounded impact reasoning
cassandra,inter_dc_stream_throughput_outbound_megabits_per_sec,Yes,No,FN,Insufficient code-context navigation
cassandra,internode_application_receive_queue_capacity_in_bytes,No,Yes,FP,Misleading performance-related terminology
cassandra,internode_application_receive_queue_reserve_endpoint_capacity_in_bytes,No,Yes,FP,Misleading performance-related terminology
cassandra,internode_application_send_queue_reserve_endpoint_capacity_in_bytes,No,Yes,FP,Misleading performance-related terminology
cassandra,internode_authenticator,No,Yes,FP,Ungrounded impact reasoning
cassandra,internode_compression,No,Yes,FP,Misleading performance-related terminology
cassandra,internode_socket_send_buffer_size_in_bytes,No,Yes,FP,Misleading performance-related terminology
cassandra,internode_streaming_tcp_user_timeout_in_ms,No,Yes,FP,Misleading performance-related terminology
cassandra,key_cache_keys_to_save,No,Yes,FP,Misleading performance-related terminology
cassandra,max_concurrent_automatic_sstable_upgrades,No,Yes,FP,Misleading performance-related terminology
cassandra,max_hint_window_in_ms,Yes,No,FN,Insufficient code-context navigation
cassandra,max_hints_file_size_in_mb,No,Yes,FP,Misleading performance-related terminology
cassandra,max_value_size_in_mb,No,Yes,FP,Misleading performance-related terminology
cassandra,native_transport_max_frame_size_in_mb,No,Yes,FP,Misleading performance-related terminology
cassandra,network_authorizer,No,Yes,FP,Ungrounded impact reasoning
cassandra,repair_session_space_in_mb,No,Yes,FP,Misleading performance-related terminology
cassandra,repaired_data_tracking_for_range_reads_enabled,Yes,No,FN,Runtime-dependent performance effects
cassandra,role_manager,No,Yes,FP,Ungrounded impact reasoning
cassandra,rpc_keepalive,No,Yes,FP,Ungrounded impact reasoning
cassandra,slow_query_log_timeout_in_ms,No,Yes,FP,Misleading performance-related terminology
cassandra,snapshot_before_compaction,No,Yes,FP,Misleading performance-related terminology
cassandra,snapshot_links_per_second,Yes,No,FN,Insufficient code-context navigation
cassandra,start_native_transport,No,Yes,FP,Ungrounded impact reasoning
cassandra,streaming_keep_alive_period_in_secs,No,Yes,FP,Misleading performance-related terminology
catena,_d,No,Yes,FP,Ungrounded impact reasoning
catena,_f,No,Yes,FP,Ungrounded impact reasoning
catena,_h,No,Yes,FP,Misleading performance-related terminology
catena,_k,No,Yes,FP,Ungrounded impact reasoning
catena,_n,No,Yes,FP,Ungrounded impact reasoning
catena,_phi,Yes,No,FN,Insufficient code-context navigation
dconverter,compressionQuality,No,Yes,FP,Misleading performance-related terminology
dconverter,iosCreateImagesetFolders,No,Yes,FP,Ungrounded impact reasoning
h2,DEFAULT_CONNECTION,No,Yes,FP,Ungrounded impact reasoning
h2,DEFAULT_TABLE_ENGINE,No,Yes,FP,Ungrounded impact reasoning
h2,GET_SORTED_SETTINGS,No,Yes,FP,Ungrounded impact reasoning
h2,MAX_QUERY_TIMEOUT,No,Yes,FP,Misleading performance-related terminology
prevayler,_monitor,Yes,No,FN,Insufficient code-context navigation
prevayler,_nullSnapshotManager,No,Yes,FP,Ungrounded impact reasoning
prevayler,_prevalenceDirectory,No,Yes,FP,Ungrounded impact reasoning
prevayler,_prevalentSystem,No,Yes,FP,Ungrounded impact reasoning
prevayler,_snapshotSerializers,No,Yes,FP,Misleading performance-related terminology
sunflow,depths.reflection,No,Yes,FP,Misleading performance-related terminology
sunflow,depths.refraction,No,Yes,FP,Misleading performance-related terminology
